passenger-carry, t = 12, b = 0, origin = 2, dest = 0, val = 22.338053745444654
passenger-carry, t = 12, b = 0, origin = 2, dest = 1, val = 91.93690530014493
passenger-carry, t = 12, b = 0, origin = 2, dest = 2, val = 136.96816984498474
passenger-carry, t = 13, b = 0, origin = 0, dest = 0, val = 19.969476388360697
passenger-carry, t = 13, b = 0, origin = 0, dest = 1, val = 152.37404006943345
passenger-carry, t = 13, b = 0, origin = 0, dest = 2, val = 20.087617008795913
passenger-carry, t = 13, b = 0, origin = 1, dest = 0, val = 14.872742230802267
passenger-carry, t = 13, b = 0, origin = 1, dest = 1, val = 112.14330383775118
passenger-carry, t = 13, b = 0, origin = 1, dest = 2, val = 14.829496905212164
passenger-carry, t = 13, b = 0, origin = 2, dest = 0, val = 15.244536771214172
passenger-carry, t = 13, b = 0, origin = 2, dest = 1, val = 122.57589799501218
passenger-carry, t = 13, b = 0, origin = 2, dest = 2, val = 15.26515731835298
passenger-carry, t = 14, b = 0, origin = 0, dest = 0, val = 20.089274945004455
passenger-carry, t = 14, b = 0, origin = 0, dest = 1, val = 153.26168403721212
passenger-carry, t = 14, b = 0, origin = 0, dest = 2, val = 20.04682811402747
passenger-carry, t = 14, b = 0, origin = 1, dest = 0, val = 15.091785990897305
passenger-carry, t = 14, b = 0, origin = 1, dest = 1, val = 116.21910505442688
passenger-carry, t = 14, b = 0, origin = 1, dest = 2, val = 15.123333378498426
passenger-carry, t = 14, b = 0, origin = 2, dest = 0, val = 14.87666590926717
passenger-carry, t = 14, b = 0, origin = 2, dest = 1, val = 116.86204656563223
passenger-carry, t = 14, b = 0, origin = 2, dest = 2, val = 14.971936257634988
passenger-carry, t = 15, b = 0, origin = 0, dest = 0, val = 19.920973035528668
passenger-carry, t = 15, b = 0, origin = 0, dest = 1, val = 154.48749476215573
passenger-carry, t = 15, b = 0, origin = 0, dest = 2, val = 19.871383124036086
passenger-carry, t = 15, b = 0, origin = 1, dest = 0, val = 15.054196009504112
passenger-carry, t = 15, b = 0, origin = 1, dest = 1, val = 120.70176022725867
passenger-carry, t = 15, b = 0, origin = 1, dest = 2, val = 15.118883001949367
passenger-carry, t = 15, b = 0, origin = 2, dest = 0, val = 14.911085587637132
passenger-carry, t = 15, b = 0, origin = 2, dest = 1, val = 115.73520667119575
passenger-carry, t = 15, b = 0, origin = 2, dest = 2, val = 15.02215216136856
passenger-carry, t = 16, b = 0, origin = 0, dest = 0, val = 19.868425991930216
passenger-carry, t = 16, b = 0, origin = 0, dest = 1, val = 155.7781859220642
passenger-carry, t = 16, b = 0, origin = 0, dest = 2, val = 19.833986695017316
passenger-carry, t = 16, b = 0, origin = 1, dest = 0, val = 15.00672256729153
passenger-carry, t = 16, b = 0, origin = 1, dest = 1, val = 122.44836406674641
passenger-carry, t = 16, b = 0, origin = 1, dest = 2, val = 15.026287545400749
passenger-carry, t = 16, b = 0, origin = 2, dest = 0, val = 14.989399429874542
passenger-carry, t = 16, b = 0, origin = 2, dest = 1, val = 113.56983129400518
passenger-carry, t = 16, b = 0, origin = 2, dest = 2, val = 14.972722621062669
passenger-carry, t = 17, b = 0, origin = 0, dest = 0, val = 19.954120916173807
passenger-carry, t = 17, b = 0, origin = 0, dest = 1, val = 159.10111007651776
