T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
15	0	3	78.81294117647059	Travel	1		
15	2	0	65.88021276595744	Travel	1		
15	3	1	21.660574018126887	Travel	1		
15	1	2	25.46327868852459	Travel	1		
15	1	1	14.912771362586605	Travel	1		
15	0	0	13.667898089171976	Travel	1		
15	1	3	18.93782178217822	Travel	1		
15	0	2	65.91433333333333	Travel	1		
16	0	1	72.04197368421052	Travel	1		
16	0	2	62.38028571428571	Travel	1		
16	0	3	80.23575757575759	Travel	1		
16	1	1	15.048520179372199	Travel	1		
16	3	2	35.84133333333333	Travel	1		
16	3	1	21.089411764705883	Travel	1		
16	2	0	66.82098039215686	Travel	1		
16	0	0	18.526969696969697	Travel	1		
16	1	2	24.794153846153844	Travel	1		
16	1	0	78.76245353159851	Travel	1		
16	2	1	26.2027358490566	Travel	1		
16	3	3	10.515100401606427	Travel	1		
16	2	3	34.64666666666667	Travel	1		
16	2	2	11.788333333333332	Travel	1		
16	1	3	19.97541935483871	Travel	1		
16	3	0	81.06171428571429	Travel	1		
17	0	3	80.23575757575759	Travel	1		
17	1	0	78.76245353159851	Travel	1		
17	2	1	26.2027358490566	Travel	1		
17	3	2	35.84133333333333	Travel	1		
17	1	3	19.97541935483871	Travel	1		
17	3	1	21.089411764705883	Travel	1		
17	2	3	34.64666666666667	Travel	1		
17	2	0	66.82098039215686	Travel	1		
17	3	3	10.515100401606427	Travel	1		
17	3	0	81.06171428571429	Travel	1		
17	2	2	11.788333333333332	Travel	1		
17	0	0	18.526969696969697	Travel	1		
17	1	2	24.794153846153844	Travel	1		
17	1	1	15.048520179372199	Travel	1		
17	0	1	72.04197368421052	Travel	1		
17	0	2	62.38028571428571	Travel	1		
18	0	3	80.23575757575759	Travel	1		
18	3	3	10.515100401606427	Travel	1		
18	2	3	34.64666666666667	Travel	1		
18	1	2	24.794153846153844	Travel	1		
18	3	2	35.84133333333333	Travel	1		
18	1	1	15.048520179372199	Travel	1		
18	1	0	78.76245353159851	Travel	1		
18	2	2	11.788333333333332	Travel	1		
18	2	0	66.82098039215686	Travel	1		
18	0	2	62.38028571428571	Travel	1		
18	0	0	18.526969696969697	Travel	1		
18	3	1	21.089411764705883	Travel	1		
18	0	1	72.04197368421052	Travel	1		
18	1	3	19.97541935483871	Travel	1		
18	2	1	26.2027358490566	Travel	1		
18	3	0	81.06171428571429	Travel	1		
19	0	2	62.38028571428571	Travel	1		
19	2	3	34.64666666666667	Travel	1		
19	0	1	72.04197368421052	Travel	1		
19	3	3	10.515100401606427	Travel	1		
19	1	1	15.048520179372199	Travel	1		
19	2	2	11.788333333333332	Travel	1		
19	3	0	81.06171428571429	Travel	1		
19	3	2	35.84133333333333	Travel	1		
19	3	1	21.089411764705883	Travel	1		
19	1	2	24.794153846153844	Travel	1		
19	2	1	26.2027358490566	Travel	1		
19	1	0	78.76245353159851	Travel	1		
19	2	0	66.82098039215686	Travel	1		
19	0	3	80.23575757575759	Travel	1		
19	0	0	18.526969696969697	Travel	1		
19	1	3	19.97541935483871	Travel	1		
20	2	3	36.612	Travel	1		
20	3	2	38.8225	Travel	1		
20	3	3	13.34043307086614	Travel	1		
