t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
10,2.7,0.8589285714285714,0.3416666666666667,0.26666666666666666,0.3833333333333333,0.008333333333333333,3.3,0.5,0.3,0.0,0.0,0.008333333333333333,0.049999999999999996,0.125,0.10833333333333332,0.175,0.225,0.19166666666666665,0.11666666666666665,0.9,0.9,1.549999999999999,0.7,2.7,4.099999999999998,0.6,2.1,3.549999999999999,0.5,1.6,2.0,4.5
11,2.4,0.7883333333333333,0.26666666666666666,0.2833333333333333,0.425,0.025,2.0,0.7,0.2,0.0,0.0,0.008333333333333333,0.016666666666666666,0.07499999999999998,0.125,0.13333333333333333,0.24166666666666664,0.21666666666666665,0.18333333333333332,1.1,2.4,2.549999999999999,0.4,2.5,3.649999999999997,0.5,2.3,4.649999999999997,0.4,1.3,1.549999999999999,4.5
12,3.4,0.7766666666666666,0.3416666666666667,0.475,0.03333333333333333,0.15,3.2,0.5,0.4,0.0,0.0,0.016666666666666666,0.05,0.06666666666666667,0.08333333333333333,0.11666666666666665,0.2,0.24166666666666664,0.225,1.7,3.3,1.549999999999999,0.9,2.4,0.0,0.6,2.1,0.0,0.2,1.1,0.5499999999999989,4.5
13,2.2,0.8633333333333333,0.275,0.5666666666666667,0.05833333333333333,0.1,2.2,0.4,0.1,0.0,0.0,0.05,0.049999999999999996,0.06666666666666667,0.075,0.19166666666666665,0.21666666666666665,0.18333333333333332,0.16666666666666666,0.7,2.2,1.0,0.4,1.6,1.0,0.8,1.9,1.0,0.3,1.6,0.0,4.5
14,2.7,0.48166666666666663,0.175,0.7,0.025,0.1,1.4,1.5,0.2,0.0,0.008333333333333333,0.06666666666666667,0.05,0.09166666666666666,0.09166666666666666,0.2,0.2833333333333333,0.15,0.058333333333333334,1.3,2.2,0.0,0.7,1.2,0.0,0.5,1.8,0.5499999999999989,0.2,2.7,1.0,4.5
15,2.4,0.85,0.3,0.4833333333333333,0.15833333333333333,0.05833333333333333,3.2,0.4,0.3,0.0,0.05833333333333333,0.03333333333333333,0.041666666666666664,0.10833333333333332,0.15833333333333333,0.19166666666666665,0.24166666666666664,0.125,0.041666666666666664,1.3,3.0,2.0,0.4,0.5,1.0999999999999979,0.7,1.4,1.0,0.0,2.2,2.099999999999998,4.5
16,2.9,0.9207142857142857,0.325,0.4083333333333333,0.225,0.041666666666666664,2.9,0.2,0.2,0.0,0.05833333333333333,0.041666666666666664,0.05,0.125,0.16666666666666669,0.175,0.21666666666666665,0.09166666666666666,0.075,1.7,4.5,3.0,0.3,1.0,2.0,0.4,0.9,1.0,0.5,1.2,1.0,4.5
17,3.4,0.7583333333333333,0.29166666666666663,0.4916666666666667,0.13333333333333333,0.08333333333333333,2.6,0.9,0.1,0.025,0.03333333333333333,0.05833333333333333,0.05,0.10833333333333332,0.175,0.15833333333333333,0.24166666666666664,0.1,0.049999999999999996,1.7,4.6,3.099999999999998,0.6,0.8,0.0,0.4,0.9,1.0,0.7,1.6,2.0,4.5
18,2.7,0.7733333333333333,0.3666666666666667,0.35833333333333334,0.26666666666666666,0.008333333333333333,3.0,0.6,0.0,0.025,0.03333333333333333,0.075,0.05833333333333333,0.125,0.16666666666666666,0.16666666666666666,0.15833333333333333,0.13333333333333333,0.058333333333333334,1.3,2.7,3.0,0.8,1.4,2.549999999999999,0.2,0.8,1.0,0.4,1.4,2.0,4.5
19,4.1,0.6383333333333333,0.35,0.4166666666666667,0.05833333333333333,0.175,2.9,1.6,0.2,0.025,0.016666666666666666,0.058333333333333334,0.05,0.15,0.16666666666666666,0.14999999999999997,0.175,0.09166666666666666,0.11666666666666665,1.3,2.4,1.549999999999999,1.2,1.1,0.0,0.7,1.7,1.0,0.9,2.1,1.0,4.5
