t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
64,4.2,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.2,5.0,0.0,0.0,1.0,1.0,3.0,1.0,2.2,3.0,0.0,0.9,3.0,0.0,0.1,3.0,0.0,4.5
65,4.6,0.0,0.0,0.0,0.0,1.0,0.0,4.6,4.2,0.0,0.0,1.0,1.3,3.0,0.0,1.9,3.0,0.0,1.2,3.0,0.0,0.2,3.0,0.0,4.5
66,4.2,0.0,0.0,0.0,0.0,1.0,0.0,4.2,4.6,0.0,0.0,1.0,1.4,3.0,0.0,1.9,3.0,0.0,0.8,3.0,0.0,0.1,3.0,0.0,4.5
67,2.8,0.0,0.0,0.0,0.0,1.0,0.0,2.8,4.2,0.0,0.0,1.0,0.9,3.0,0.0,1.2,3.0,0.0,0.6,3.0,0.0,0.1,3.0,0.0,4.5
68,5.6,0.0,0.0,0.0,0.0,1.0,0.0,5.6,2.8,0.0,0.0,1.0,0.7,3.0,0.0,3.5,3.0,0.0,1.0,3.0,0.0,0.4,3.0,0.0,4.5
69,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.6,0.0,0.0,1.0,0.9,3.0,0.0,3.5,3.0,0.0,0.3,3.0,0.0,0.3,3.0,0.0,4.5
70,6.3,0.0,0.0,0.0,0.0,1.0,0.0,6.3,5.0,0.0,0.0,1.0,1.1,3.0,0.0,3.6,3.0,0.0,1.0,3.0,0.0,0.6,3.0,0.0,4.5
71,5.4,0.0,0.0,0.0,0.0,1.0,0.0,5.4,6.3,0.0,0.0,1.0,0.9,3.0,0.0,3.1,3.0,0.0,0.9,3.0,0.0,0.5,3.0,0.0,4.5
72,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.4,0.0,0.0,1.0,1.1,3.0,0.0,3.2,3.0,0.0,1.0,3.0,0.0,0.7,3.0,0.0,4.5
73,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,0.6,3.0,0.0,2.4,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,4.5
74,4.5,0.0,0.0,0.0,0.0,1.0,0.0,4.5,4.0,0.0,0.0,1.0,0.6,3.0,0.0,2.8,3.0,0.0,1.1,3.0,0.0,0.0,3.0,0.0,4.5
75,5.6,0.0,0.0,0.0,0.0,1.0,0.0,5.6,4.5,0.0,0.0,1.0,0.8,3.0,0.0,2.8,3.0,0.0,1.6,3.0,0.0,0.4,3.0,0.0,4.5
76,4.6,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.6,5.6,0.0,0.0,1.0,0.9,3.0,1.0,2.3,3.0,0.0,1.2,3.0,0.0,0.2,3.0,0.0,4.5
77,3.9,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,3.9,4.6,0.0,0.0,1.0,0.7,3.0,1.0,2.4,3.0,0.0,0.7,3.0,0.0,0.1,3.0,0.0,4.5
78,4.5,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.5,3.9,0.0,0.0,1.0,1.2,3.0,1.0,2.3,3.0,0.0,0.7,3.0,0.0,0.3,3.0,0.0,4.5
79,5.1,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,5.1,4.5,0.0,0.0,1.0,0.9,3.0,1.0,2.3,3.0,0.0,1.5,3.0,0.0,0.4,3.0,0.0,4.5
80,4.5,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,4.5,5.1,0.0,0.0,1.0,0.6,3.0,1.0,3.3,3.0,0.0,0.6,2.0,1.0,0.0,3.0,0.0,4.5
81,5.8,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,5.8,4.5,0.0,0.0,1.0,0.8,3.0,1.0,3.8,3.0,0.0,1.0,3.0,0.0,0.2,3.0,0.0,4.5
82,5.6,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,5.6,5.8,0.0,0.0,1.0,1.1,3.0,2.0,3.6,3.0,0.0,0.9,3.0,0.0,0.0,3.0,0.0,4.5
83,4.8,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,4.8,5.6,0.0,0.0,1.0,1.4,3.0,1.0,2.9,3.0,0.0,0.5,3.0,0.0,0.0,3.0,0.0,4.5
84,4.9,0.0,0.0,0.0,0.0,1.0,0.0,4.9,4.8,0.0,0.0,1.0,0.6,3.0,0.0,3.3,3.0,0.0,0.8,3.0,0.0,0.2,3.0,0.0,4.5
